category,urgency,scope,price_low,price_high,typical_tasks,recommendations,next_steps
plumbing,low,small,75,200,"Fix minor drip, replace washer, tighten connections","Check all visible connections for corrosion; consider replacing old washers preventively","Schedule a convenient appointment; no rush needed"
plumbing,low,medium,200,500,"Replace faucet, fix running toilet, clear slow drain","Consider upgrading to water-efficient fixtures; inspect nearby pipes","Get 2-3 quotes; schedule within the next week"
plumbing,low,large,500,1500,"Replace water heater, repipe section, install new fixtures","Consider whole-house water filtration; check water pressure","Plan for half-day service; ensure water shutoff is accessible"
plumbing,medium,small,150,350,"Fix moderate leak, replace valve, unclog drain","Address promptly to prevent water damage; check for mold","Schedule within 2-3 days"
plumbing,medium,medium,350,800,"Repair pipe burst section, replace toilet, fix sewer line issue","Document damage for insurance; check adjacent areas","Schedule within 24-48 hours; prepare for potential wall access"
plumbing,medium,large,800,2500,"Major pipe replacement, sewer line repair, bathroom rough-in","Get permits if needed; consider upgrading pipe material","Hire licensed plumber; expect 1-2 day job"
plumbing,high,small,200,500,"Emergency leak repair, frozen pipe thaw, emergency shutoff","Turn off water supply immediately; document damage","Call emergency plumber now; contain water spread"
plumbing,high,medium,500,1500,"Burst pipe repair, sewage backup, water heater failure","Shut off main water; move valuables from affected area","Emergency service needed within hours"
plumbing,high,large,1500,5000,"Major flood damage repair, full repipe emergency, sewer main break","Contact insurance; document everything; ensure safety","Immediate emergency service; expect multi-day repair"
plumbing,emergency,small,300,700,"After-hours leak repair, emergency valve replacement","Contain water; shut off supply at main valve","Call 24/7 emergency service immediately"
plumbing,emergency,medium,700,2000,"After-hours burst pipe, sewage emergency","Evacuate affected area; shut off water and electricity if needed","Call emergency services; document for insurance"
plumbing,emergency,large,2000,7000,"Catastrophic pipe failure, major flooding, sewer main emergency","Ensure safety first; contact insurance immediately","Call emergency plumber and water damage restoration"
painting,low,small,150,400,"Touch-up paint, single accent wall, door/trim painting","Use primer for best results; choose low-VOC paint","Schedule at your convenience; prep surfaces first"
painting,low,medium,400,1200,"Single room repaint, exterior touch-up, cabinet painting","Consider color consultation; ensure proper ventilation","Get color samples first; schedule 1-2 day job"
