text,category,urgency,scope
"Small drip under the kitchen sink, been going on for a couple days. Just a slow leak near the P-trap connection.",plumbing,low,small
"Need to replace the kitchen faucet, it's old and starting to corrode. Want something modern.",plumbing,low,medium
Looking to repipe the whole bathroom with copper. Currently have old galvanized pipes that are rusting.,plumbing,low,large
The toilet keeps running after flushing. I've tried jiggling the handle but it won't stop.,plumbing,low,small
Want to install a new garbage disposal and connect it to the existing plumbing.,plumbing,low,medium
Planning a full bathroom remodel and need all new plumbing fixtures installed.,plumbing,low,large
Shower head is leaking where it connects to the pipe. Probably just needs a new washer.,plumbing,low,small
"Need to replace the water heater, current one is 15 years old and not heating well.",plumbing,low,large
"Bathroom sink drains very slowly, probably a clog somewhere in the line.",plumbing,low,small
"Want to add a utility sink in the laundry room, need water lines run to it.",plumbing,low,medium
Noticed a wet spot on the ceiling below the upstairs bathroom. Something is leaking.,plumbing,medium,small
The water pressure has dropped significantly in the last week. Multiple faucets affected.,plumbing,medium,medium
Found water pooling in the basement near the water main. Not sure where it's coming from.,plumbing,medium,medium
Pipe under the bathroom sink is corroded and dripping steadily. Getting worse each day.,plumbing,medium,small
Sewer smell coming from the basement drain. Getting stronger over the past few days.,plumbing,medium,medium
Multiple fixtures are backing up. Toilets and sinks gurgling when others are used.,plumbing,medium,large
Hot water is coming out rusty brown. Water heater might be failing.,plumbing,medium,medium
The shutoff valve under the sink is stuck and leaking when I try to turn it.,plumbing,medium,small
Need emergency repair of a section of copper pipe that has a pinhole leak spraying water.,plumbing,medium,medium
Toilet is leaking at the base when flushed. Water pooling on the floor each time.,plumbing,medium,small
Pipe burst in the wall and water is spraying everywhere! Need help NOW.,plumbing,high,medium
Water is flooding the basement from a broken pipe. Can't find the shutoff valve.,plumbing,high,large
The water heater is leaking badly and there's water all over the garage floor.,plumbing,high,medium
Sewage is backing up into the bathtub. Horrible smell and it won't drain.,plumbing,high,medium
Frozen pipe just burst in the crawl space. Water is running everywhere under the house.,plumbing,high,large
"Major leak from the ceiling, water is pouring down. Something burst upstairs.",plumbing,high,medium
Gas smell near the water heater. I turned off the gas but need someone immediately.,plumbing,emergency,medium
"Main water line burst in the yard, water is gushing out and flooding the driveway.",plumbing,emergency,large
Sewage is overflowing from the main cleanout in the front yard. Raw sewage everywhere.,plumbing,emergency,large
"Pipe burst at 2 AM, water everywhere, soaking through the floors into the basement.",plumbing,emergency,large
Water shooting from the wall where the washing machine connects. Can't stop it.,plumbing,emergency,medium
"Slab leak detected, water bill tripled and there's a warm spot on the floor.",plumbing,emergency,large
Need to touch up some paint scuffs on the hallway walls. Just a few spots.,painting,low,small
Want to paint an accent wall in the living room. About 12 feet wide.,painting,low,small
Looking to repaint the master bedroom. Walls are about 400 square feet total.,painting,low,medium
"Need the whole interior of the house painted. About 2000 square feet, 8 rooms.",painting,low,large
Want to paint the front door and trim. Need it to look professional.,painting,low,small
"Kitchen cabinets need repainting. They're solid wood and currently white, want to go gray.",painting,low,medium
"Full exterior house painting needed. Two-story colonial, about 2500 square feet.",painting,low,large
Need the ceiling painted in the living room. There are some water stains to cover.,painting,low,medium
Deck needs staining and sealing. About 300 square feet of deck surface.,painting,low,medium
Want to paint the garage floor with epoxy coating. Two-car garage.,painting,low,large
There's a water stain on the bedroom ceiling that needs to be sealed and repainted.,painting,medium,small
Paint is peeling badly on the south-facing exterior wall. Needs scraping and repainting.,painting,medium,medium
Ceiling has cracks and the paint is bubbling in the bathroom. Might be moisture issue.,painting,medium,small
Several rooms have smoke damage on the walls and ceiling from a small kitchen fire.,painting,medium,large
Exterior trim paint is cracking and flaking. Wood might be exposed to weather.,painting,medium,medium
Mold stains showing through the paint in the bathroom. Needs proper treatment and repaint.,painting,medium,small
